budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2017,General Fund,0001EBS,Building Services GF,Security Service for City Facilities,RE,Reimbursements,-1162618,0,-527020.97,-527020.97,GNFD,1.32
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,RE,Reimbursements,0,0,-250,-250,EFOP,2.29
2016,General Fund,0001CMO,City Manager's Office GF,City Administration,QV,Contractual & Other Services,172767,0,156780.12,156780.12,GNFD,5.14
2016,General Fund,0001MCC,Mayor and City Council GF,Administrative Support for the Mayor and City Council,QV,Contractual & Other Services,650471,0,501003.39,501003.39,GNFD,5.03
2017,General Fund,0001SEC,City Secretary's Office GF,Customer Service,PS,Personnel Services,168193,0,87872.31,87872.31,GNFD,5.23
2017,General Fund,0001STS,Street Services GF,Street Repair Division - Asphalt,PS,Personnel Services,6048166,0,3040752.77,3040752.77,GNFD,2.4300000000000002
2017,General Fund,0001CRO,Mgmt Services - Resiliency Office,Resiliency Office,PS,Personnel Services,318478,0,154122.86,154122.86,GNFD,2.37
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Capital Construction and Debt Service,QV,Contractual & Other Services,1618576,0,301142.50,301142.50,EFOP,2.06
2017,General Fund,0001PKR,Park and Recreation GF,Recreation Services,PS,Personnel Services,12940878,0,6129814.38,6129814.38,GNFD,4.12
2017,General Fund,0001POM,Business Development & Procurement GF,Business Inclusion & Development Compliance Monitoring,PS,Personnel Services,432065,0,201432.22,201432.22,GNFD,5.1100000000000003
2017,General Fund,0001SEC,City Secretary's Office GF,Boards and Commissions Support,QM,Supplies & Materials,1700,0,434.53,434.53,GNFD,5.0999999999999996
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,QV,Contractual & Other Services,123027,0,48101.57,48101.57,EFOP,3.03
2016,General Fund,0001ECO,Economic Development GF,Area Redevelopment,QV,Contractual & Other Services,248487,0,234156.61,234156.61,GNFD,2.0099999999999998
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Express Plan Review,PS,Personnel Services,1834591,0,747595.16,747595.16,EFOP,2.16
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Dispatch and Communications,PS,Personnel Services,8323282,0,3654018.99,3654018.99,GNFD,1.1000000000000001
2017,General Fund,0001STS,Street Services GF,Land Surveying Services,RE,Reimbursements,-715730,0,-132003.41,-132003.41,GNFD,5.43
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Brush/Bulk Waste Removal Services,PS,Personnel Services,7480596,0,3845165.80,3845165.80,EFOP,3.04
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Records and Archival Library,QM,Supplies & Materials,8159,0,5287.16,5287.16,EFOP,2.33
2017,General Fund,0001LIB,Library GF,"Literacy Initiatives, Education & Community Engagement",QV,Contractual & Other Services,700,0,3415.58,3415.58,GNFD,4.08
2017,General Fund,0001EBS,Building Services GF,Bullington Truck Terminal and Thanksgiving Square,PS,Personnel Services,46445,0,23099.36,23099.36,GNFD,2.0299999999999998
2017,Other Operating Fund,0191DSV,9-1-1 System Operations,9-1-1 Technology/Education Services,PS,Personnel Services,256993,0,98534.52,98534.52,OTHO,5.A
2017,General Fund,0001HOU,Housing GF,Community/Senior Services,PS,Personnel Services,1551548,0,687751.84,687751.84,GNFD,3.08
2017,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,RE,Reimbursements,-1878701,0,-557042.43,-557042.43,GNFD,3.14
2017,General Fund,0001CTJ,Judiciary GF,Court Security,PS,Personnel Services,968426,0,526848.87,526848.87,GNFD,1.05
2017,Internal Service Fund,0199POM,Express Business Center POM,Business Services,PS,Personnel Services,444682,0,221446.59,221446.59,INSV,5.B
2017,General Fund,0001ATT,City Attorney's Office GF,Litigation,PS,Personnel Services,4515171,0,2212065.47,2212065.47,GNFD,5.45
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Capital Funding,QV,Contractual & Other Services,7181606,0,83968.38,83968.38,EFOP,2.52
2017,General Fund,0001CCS,Code Compliance GF,Consumer Health,PS,Personnel Services,2537303,0,1071415.15,1071415.15,GNFD,3.1
2017,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",PS,Personnel Services,74295,0,35673.07,35673.07,GNFD,3.13
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Treatment,TR,Transfers Out,1253522,0,0,0,EFOP,3.25
2017,General Fund,0001DPD,Police Department GF,Juvenile Case Managers/First Offender Program,PS,Personnel Services,481945,0,212438.64,212438.64,GNFD,1.1499999999999999
2017,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,QM,Supplies & Materials,2000,0,109.68,109.68,GNFD,5.24
2017,General Fund,0001DPD,Police Department GF,Department Support,PS,Personnel Services,9646261,0,3605311.89,3605311.89,GNFD,9.99
2017,General Fund,0001PER,Human Resources GF,Department Support,QV,Contractual & Other Services,0,0,411.3,411.3,GNFD,9.99
2017,General Fund,0001CCS,Code Compliance GF,Dallas Animal Services,PS,Personnel Services,8667017,0,3688585.73,3688585.73,GNFD,3.12
2017,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Department Support,PS,Personnel Services,0,0,882773.41,882773.41,EFOP,9.99
2017,General Fund,0001OCA,Office of Cultural Affairs GF,Department Support,PS,Personnel Services,398003,0,156058.08,156058.08,GNFD,9.99
2016,General Fund,0001DPD,Police Department GF,Police Intelligence,QV,Contractual & Other Services,395042,0,453569.80,453569.80,GNFD,1.25
2017,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,Internal Control Task Force,QM,Supplies & Materials,1500,0,421.51,421.51,GNFD,5.42
2016,General Fund,0001OFS,Non-Departmental,Non-Departmental,QV,Contractual & Other Services,14679596,0,15059099.91,15059099.91,GNFD,5.46
2017,General Fund,0001ECO,Economic Development GF,Small Business Initiatives,PS,Personnel Services,645707,0,340149.91,340149.91,GNFD,2.4
2016,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,QV,Contractual & Other Services,202584,0,164095.53,164095.53,GNFD,1.26
2017,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,PS,Personnel Services,2081237,0,808368.37,808368.37,INSV,5.O
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Inspection and Life Safety Education,RE,Reimbursements,0,0,-218864.50,-218864.50,GNFD,1.1399999999999999
2017,General Fund,0001ECO,Economic Development GF,Area Redevelopment,QV,Contractual & Other Services,252378,0,14840.05,14840.05,GNFD,2.0099999999999998
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Department Support,PS,Personnel Services,3820743,0,1165242.45,1165242.45,GNFD,9.99
2017,General Fund,0001DPD,Police Department GF,Police Administrative Support,RE,Reimbursements,-325051,0,-68316.22,-68316.22,GNFD,1.21
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Department Support,PS,Personnel Services,1652299,0,794996.53,794996.53,INSV,9.99
2017,General Fund,0001STS,Street Services GF,Capital and Implementation Program,RE,Reimbursements,-5556811,0,-445831.60,-445831.60,GNFD,2.0499999999999998
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Cultural Services Contracts,QV,Contractual & Other Services,5254730,0,5438437.10,5438437.10,GNFD,4.03
2017,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Air Quality Compliance,PS,Personnel Services,660902,0,294663.40,294663.40,GNFD,3.01
2017,General Fund,0001PKR,Park and Recreation GF,Golf and Tennis Centers,RC,Capital Outlay,0,0,38337.60,38337.60,GNFD,4.04
2017,General Fund,0001BMS,Office of Financial Services GF,Citywide Capital and Operating Budget Dev and Monitoring,QV,Contractual & Other Services,320223,0,244606.60,244606.60,GNFD,5.19
2017,General Fund,0001PKR,Park and Recreation GF,Golf and Tennis Centers,PS,Personnel Services,3008137,0,1395358.35,1395358.35,GNFD,4.04
2017,General Fund,0001STS,Street Services GF,Traffic Operations Maintenance,PS,Personnel Services,4033088,0,1621416.68,1621416.68,GNFD,2.4700000000000002
2017,General Fund,0001OCA,Office of Cultural Affairs GF,Cultural Services Contracts,PS,Personnel Services,423799,0,177374.62,177374.62,GNFD,4.03
2017,General Fund,0001STS,Street Services GF,Service Maintenance Areas,RE,Reimbursements,-3000975,0,-3008.88,-3008.88,GNFD,2.39
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,PS,Personnel Services,2516815,0,1140506.84,1140506.84,EFOP,2.15
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,GIS Mapping for Private Development,PS,Personnel Services,779880,0,270516.98,270516.98,EFOP,2.2200000000000002
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,QV,Contractual & Other Services,0,0,142133.60,142133.60,EFOP,9.99
2017,General Fund,0001LIB,Library GF,"Literacy Initiatives, Education & Community Engagement",PS,Personnel Services,750161,0,373102.01,373102.01,GNFD,4.08
2017,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,QV,Contractual & Other Services,145024,0,12722.53,12722.53,GNFD,5.21
2017,General Fund,0001STS,Street Services GF,Traffic Operations Maintenance,RE,Reimbursements,-784449,0,-250526.44,-250526.44,GNFD,2.4700000000000002
2017,General Fund,0001PKR,Park and Recreation GF,Leisure Venue Management,QV,Contractual & Other Services,17232471,0,11525877.65,11525877.65,GNFD,4.05
2017,Other Operating Fund,0286PER,Wellness Program Fund,Wellness Program,TR,Transfers Out,14058,0,0,0,OTHO,5.R
2017,General Fund,0001STS,Street Services GF,Street Cut and Right-of-Way Management (Cut Control),QM,Supplies & Materials,14028,0,3661.77,3661.77,GNFD,2.41
2017,Internal Service Fund,0198DSV,Information Technology DSV,Strategic Technology Management,RE,Reimbursements,-2457625,0,-832358.51,-832358.51,INSV,5.Q
2017,General Fund,0001DPD,Police Department GF,Police Field Patrol,RE,Reimbursements,-350000,0,-9068.27,-9068.27,GNFD,1.24
2017,General Fund,0001DPD,Police Department GF,Police Criminal Investigations,RE,Reimbursements,-236000,0,-118384.30,-118384.30,GNFD,1.23
2017,General Fund,0001STS,Street Services GF,Traffic Safety and Congestion Management,RE,Reimbursements,-40500,0,-15313.06,-15313.06,GNFD,2.48
2017,General Fund,0001BAC,Mgmt Services - Boards and Commissions,Boards and Commissions Liaison,PS,Personnel Services,74200,0,36440.36,36440.36,GNFD,5.09
2017,General Fund,0001STS,Street Services GF,Street Repair Division - Asphalt,RC,Capital Outlay,0,0,42030,42030,GNFD,2.4300000000000002
2017,General Fund,0001ICT,Mgmt Services - Internal Control Task Force,Internal Control Task Force,PS,Personnel Services,342929,0,160658.06,160658.06,GNFD,5.42
2016,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,QV,Contractual & Other Services,56850,0,29862.67,29862.67,GNFD,5.24
2017,General Fund,0001CCO,City Controller's Office GF,Financial Reporting,PS,Personnel Services,2021051,0,764549.12,764549.12,GNFD,5.32
2017,General Fund,0001SEC,City Secretary's Office GF,City Council Support,PS,Personnel Services,567028,0,243108.80,243108.80,GNFD,5.16
2017,General Fund,0001PKR,Park and Recreation GF,Park Land Maintained,PS,Personnel Services,17613205,0,8930647.25,8930647.25,GNFD,4.09
2017,General Fund,0001SEC,City Secretary's Office GF,Records Management,QM,Supplies & Materials,1200,0,562.63,562.63,GNFD,5.5
2017,General Fund,0001HOU,Housing GF,Home Ownership/Development,RE,Reimbursements,-633619,0,-35432.91,-35432.91,GNFD,2.2400000000000002
2017,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,QM,Supplies & Materials,1231,0,290.63,290.63,GNFD,5.21
2016,General Fund,0001AUD,City Auditor's Office GF,"Audits, Attestations and Investigations",QV,Contractual & Other Services,197232,0,175566.45,175566.45,GNFD,5.08
2017,Enterprise Operating Fund,0080CCT,Convention Center CCT,Convention Center Debt Service Payment,TR,Transfers Out,22524413,0,12600000,12600000,EFOP,2.09
2017,General Fund,0001DPD,Police Department GF,Police Intelligence,RE,Reimbursements,-86500,0,-77455.64,-77455.64,GNFD,1.25
2017,General Fund,0001LIB,Library GF,Library Materials & Collection Management,PS,Personnel Services,1153420,0,508178.47,508178.47,GNFD,4.0599999999999996
2017,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",PS,Personnel Services,2674331,0,1321500.86,1321500.86,GNFD,4.0999999999999996
2017,General Fund,0001DPD,Police Department GF,Police Academy and In-service Training,PS,Personnel Services,20444087,0,6656862.65,6656862.65,GNFD,1.2
2017,General Fund,0001CVS,Civil Service GF,Applicant Processing - Civilian,PS,Personnel Services,730752,0,344853.72,344853.72,GNFD,5.05
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,PS,Personnel Services,2218916,0,1131470.41,1131470.41,GNFD,2.35
2017,General Fund,0001OCA,Office of Cultural Affairs GF,Public Art for Dallas,PS,Personnel Services,287008,0,140331.20,140331.20,GNFD,4.1100000000000003
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,QV,Contractual & Other Services,35684,0,21093.13,21093.13,EFOP,2.29
2017,General Fund,0001PNV,Planning and Urban Design GF,Department Support,QV,Contractual & Other Services,30620,0,24680.81,24680.81,GNFD,9.99
2017,General Fund,0001SEC,City Secretary's Office GF,Boards and Commissions Support,PS,Personnel Services,267567,0,132845.50,132845.50,GNFD,5.0999999999999996
2017,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,QM,Supplies & Materials,74154,0,14234.09,14234.09,GNFD,1.26
2017,General Fund,0001DPD,Police Department GF,Police Special Operations,PS,Personnel Services,32823667,0,15931664.12,15931664.12,GNFD,1.31
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,PS,Personnel Services,314815,0,158439.08,158439.08,GNFD,2.02
2017,General Fund,0001CVS,Civil Service GF,Analysis/Development and Validation,PS,Personnel Services,590508,0,221917.15,221917.15,GNFD,5.04
2017,General Fund,0001OCA,Office of Cultural Affairs GF,Public Art for Dallas,RE,Reimbursements,-208739,0,-19468.98,-19468.98,GNFD,4.1100000000000003
2017,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,Intergovernmental Services,QM,Supplies & Materials,6205,0,865.18,865.18,GNFD,5.41
2016,General Fund,0001DPD,Police Department GF,Police Field Patrol,QM,Supplies & Materials,3844842,0,3668977.54,3668977.54,GNFD,1.24
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Training and Recruitment,QV,Contractual & Other Services,1436597,0,885166.56,885166.56,GNFD,1.1200000000000001
2017,General Fund,0001PER,Human Resources GF,HRIS and HR Payroll Services,QM,Supplies & Materials,7098,0,1283.07,1283.07,GNFD,5.38
2017,General Fund,0001HOU,Housing GF,Community/Senior Services,RE,Reimbursements,-50000,0,-9051.46,-9051.46,GNFD,3.08
2017,General Fund,0001FHO,Mgmt Services - Fair Housing,Fair Housing and Human Rights Compliance,PS,Personnel Services,132500,0,65277.52,65277.52,GNFD,5.31
2017,General Fund,0001STS,Street Services GF,Interagency and Transportation Administration,RE,Reimbursements,-772450,0,-46795.31,-46795.31,GNFD,2.2599999999999998
2017,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,PS,Personnel Services,3943181,0,1845256.58,1845256.58,GNFD,1.26
2017,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Stormwater Regulations & Enforcement,PS,Personnel Services,4557065,0,1947686.09,1947686.09,EFOP,3.22
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,"Water Planning, Financial and Rate Services",PS,Personnel Services,1851821,0,896500.33,896500.33,EFOP,5.54
2017,General Fund,0001DPD,Police Department GF,Police Field Patrol,PS,Personnel Services,243251881,0,108416926.03,108416926.03,GNFD,1.24
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire and Rescue Emergency Response,QV,Contractual & Other Services,2702444,0,2267735.09,2267735.09,GNFD,1.0900000000000001
2017,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,PS,Personnel Services,170993,0,83110.19,83110.19,GNFD,5.24
2017,General Fund,0001CCS,Code Compliance GF,Neighborhood Code Compliance Services,RE,Reimbursements,-1215858,0,-308549.59,-308549.59,GNFD,3.17
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,PS,Personnel Services,628700,0,268210.31,268210.31,EFOP,5.53
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,PS,Personnel Services,464895,0,228499.15,228499.15,EFOP,3.03
2017,General Fund,0001BMS,Office of Financial Services GF,Citywide Capital and Operating Budget Dev and Monitoring,PS,Personnel Services,891464,0,314825.20,314825.20,GNFD,5.19
2016,General Fund,0001CRO,Mgmt Services - Resiliency Office,Resiliency Office,QV,Contractual & Other Services,0,0,272.56,272.56,GNFD,2.37
2017,General Fund,0001STS,Street Services GF,Service Maintenance Areas,PS,Personnel Services,11230497,0,4850602.98,4850602.98,GNFD,2.39
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,City Facility Services,PS,Personnel Services,92886,0,46200.18,46200.18,EFOP,3.05
2017,General Fund,0001CCO,City Controller's Office GF,Payroll,QM,Supplies & Materials,4575,0,2527.47,2527.47,GNFD,5.47
2016,General Fund,0001CCS,Code Compliance GF,Consumer Health,RC,Capital Outlay,0,0,13190,13190,GNFD,3.1
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Union Station,QV,Contractual & Other Services,486364,0,431191.58,431191.58,EFOP,2.5
2017,General Fund,0001STS,Street Services GF,Street Repair Division - Concrete,RE,Reimbursements,-1975063,0,0,0,GNFD,2.44
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Brush/Bulk Waste Removal Services,PS,Personnel Services,7046835,0,7941343.26,7941343.26,EFOP,3.04
2017,General Fund,0001PNV,Planning and Urban Design GF,Department Support,RE,Reimbursements,-707829,0,0,0,GNFD,9.99
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Inspection and Life Safety Education,PS,Personnel Services,8313679,0,8208987.62,8208987.62,GNFD,1.1399999999999999
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,QM,Supplies & Materials,10351,0,579.70000000000005,579.70000000000005,GNFD,2.02
2017,General Fund,0001MCC,Mayor and City Council GF,Administrative Support for the Mayor and City Council,PS,Personnel Services,3742861,0,1967299.67,1967299.67,GNFD,5.03
2017,General Fund,0001EBS,Building Services GF,Department Support,QM,Supplies & Materials,800,0,21.47,21.47,GNFD,9.99
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,RE,Reimbursements,-360880,0,-147702,-147702,EFOP,9.99
2017,General Fund,0001PKR,Park and Recreation GF,Department Support,PS,Personnel Services,2780538,0,1657797.51,1657797.51,GNFD,9.99
2017,General Fund,0001CCO,City Controller's Office GF,Payroll,PS,Personnel Services,560605,0,203069.08,203069.08,GNFD,5.47
2017,General Fund,0001PER,Human Resources GF,Department Support,PS,Personnel Services,459243,0,217296.64,217296.64,GNFD,9.99
2017,General Fund,0001HOU,Housing GF,Home Ownership/Development,PS,Personnel Services,1942703,0,930741.73,930741.73,GNFD,2.2400000000000002
2017,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,PS,Personnel Services,402888,0,130497.15,130497.15,GNFD,2.13
2017,General Fund,0001CVS,Civil Service GF,Applicant Processing - Uniform,PS,Personnel Services,631056,0,242780.92,242780.92,GNFD,5.0599999999999996
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,PS,Personnel Services,371449,0,128333.84,128333.84,EFOP,9.99
2017,General Fund,0001ATT,City Attorney's Office GF,Municipal Prosecution,PS,Personnel Services,1735468,0,826210.75,826210.75,GNFD,1.19
2016,General Fund,0001DPD,Police Department GF,Police Investigations of Narcotics Related Crimes,QV,Contractual & Other Services,665087,0,497746.84,497746.84,GNFD,1.27
2017,General Fund,0001PKR,Park and Recreation GF,Operation & Maintenance of Fair Park,PS,Personnel Services,711846,0,1636062.59,1636062.59,GNFD,2.2999999999999998
2017,General Fund,0001EBS,Building Services GF,Custodial Maintenance,RE,Reimbursements,-102829,0,-61302.10,-61302.10,GNFD,3.11
2017,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",QV,Contractual & Other Services,241554,0,34351.70,34351.70,GNFD,4.0999999999999996
2017,General Fund,0001POM,Business Development & Procurement GF,Vendor Development,PS,Personnel Services,203031,0,70549.38,70549.38,GNFD,2.5099999999999998
2017,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,PS,Personnel Services,444486,0,219790.69,219790.69,GNFD,2.14
2017,General Fund,0001STL,Street Lighting,Street Lighting,PS,Personnel Services,300892,0,120478.35,120478.35,GNFD,2.42
2017,Internal Service Fund,0199POM,Express Business Center POM,Business Services,RE,Reimbursements,-1200000,0,-670114.72,-670114.72,INSV,5.B
2017,General Fund,0001ELE,Elections,Elections,PS,Personnel Services,91463,0,44179.80,44179.80,GNFD,5.27
2017,General Fund,0001CTS,Court and Detention Services GF,Dallas City Marshal,PS,Personnel Services,2572337,0,1254902.76,1254902.76,GNFD,1.06
2017,General Fund,0001DFD,Dallas Fire Rescue GF,"EMS Administration, Contracts, and Community Health",PS,Personnel Services,11619092,0,4993819.98,4993819.98,GNFD,1.08
2017,General Fund,0001BMS,Office of Financial Services GF,Grant Administration,PS,Personnel Services,1178228,0,530738.40,530738.40,GNFD,5.36
2017,General Fund,0001DPD,Police Department GF,Police Administrative Support,PS,Personnel Services,6942791,0,3174002.57,3174002.57,GNFD,1.21
2017,General Fund,0001BMS,Office of Financial Services GF,Utility Management,QV,Contractual & Other Services,207661,0,43885.03,43885.03,GNFD,5.52
2017,General Fund,0001ATT,City Attorney's Office GF,Code Litigation,PS,Personnel Services,918783,0,301116.37,301116.37,GNFD,3.06
2017,General Fund,0001SEC,City Secretary's Office GF,Customer Service,QV,Contractual & Other Services,34366,0,1173.60,1173.60,GNFD,5.23
2017,General Fund,0001STS,Street Services GF,Street Repair Division - Concrete,TR,Transfers Out,11700890,0,6825519.15,6825519.15,GNFD,2.44
2017,General Fund,0001PKR,Park and Recreation GF,Recreation Services,RE,Reimbursements,-825000,0,-35930.01,-35930.01,GNFD,4.12
2017,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,Environmental Quality,QM,Supplies & Materials,71667,0,13127.70,13127.70,GNFD,3.14
2017,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Maintenance and Repair Services,PS,Personnel Services,12983543,0,5877514.10,5877514.10,INSV,5.E
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,QV,Contractual & Other Services,153511,0,207605.30,207605.30,GNFD,2.35
2017,General Fund,0001DEV,Sustainable Dev and Construction GF,Real Estate and Relocation,RE,Reimbursements,-2163874,0,-565883.83,-565883.83,GNFD,2.35
2016,General Fund,0001CCS,Code Compliance GF,Dallas Animal Services,QV,Contractual & Other Services,2040349,0,2952721.84,2952721.84,GNFD,3.12
2017,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Survey,QV,Contractual & Other Services,98566,0,2610.79,2610.79,EFOP,2.34
2017,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,PS,Personnel Services,15260267,0,6913899.13,6913899.13,EFOP,2.12
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,City Facility Services,QM,Supplies & Materials,5625,0,6050.61,6050.61,EFOP,3.05
2017,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Inspection for New Construction,QM,Supplies & Materials,20363,0,5584.69,5584.69,GNFD,2.1800000000000002
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Department Support,QV,Contractual & Other Services,337757,0,7091.84,7091.84,GNFD,9.99
2016,General Fund,0001CCO,City Controller's Office GF,Accounts Payable,QV,Contractual & Other Services,102720,0,38762.69,38762.69,GNFD,5.0199999999999996
2017,General Fund,0001ECO,Economic Development GF,Dallas Film Commission,PS,Personnel Services,277789,0,79909.28,79909.28,GNFD,2.11
2017,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,RE,Reimbursements,-505000,0,-102019.28,-102019.28,GNFD,1.07
2017,General Fund,0001CVS,Civil Service GF,Analysis/Development and Validation,QM,Supplies & Materials,56400,0,16669.14,16669.14,GNFD,5.04
2017,General Fund,0001PNV,Planning and Urban Design GF,Department Support,PS,Personnel Services,659104,0,322122.01,322122.01,GNFD,9.99
2016,General Fund,0001ECO,Economic Development GF,Department Support,QV,Contractual & Other Services,0,0,17186.05,17186.05,GNFD,9.99
2017,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Landfill Services,PS,Personnel Services,6074277,0,2610279.91,2610279.91,EFOP,3.16
2016,General Fund,0001CCO,City Controller's Office GF,Department Support,QM,Supplies & Materials,0,0,8.0500000000000007,8.0500000000000007,GNFD,9.99
2017,General Fund,0001CTJ,Judiciary GF,Community Court,QV,Contractual & Other Services,550,0,0,0,GNFD,1.04
2017,General Fund,0001OFS,Non-Departmental,Non-Departmental,TR,Transfers Out,65000,0,0,0,GNFD,5.46
2016,Other Operating Fund,0278PER,Employee Benefits Administration,HR Benefits Administration Services,TR,Transfers Out,60009,0,30071.32,30071.32,OTHO,5.J
2016,General Fund,0001DPD,Police Department GF,Police Field Patrol,RC,Capital Outlay,0,0,26110.57,26110.57,GNFD,1.24
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,"Water Planning, Financial and Rate Services",TR,Transfers Out,111524,0,99160.31,99160.31,EFOP,5.54
2017,Other Operating Fund,0195ORM,Office of Risk Management,Risk Management Services,RE,Reimbursements,-374790,0,0,0,OTHO,5.P
2017,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,RC,Capital Outlay,703000,0,0,0,EFOP,3.24
2017,Internal Service Fund,0196EBS,Equipment Services EBS,Department Support,RE,Reimbursements,-1720320,0,0,0,INSV,9.99
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,TR,Transfers Out,682010,0,633100.46,633100.46,EFOP,2.54
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Treatment,TR,Transfers Out,1192445,0,1175431.09,1175431.09,EFOP,3.25
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Wastewater Collection,TR,Transfers Out,905057,0,875661.84,875661.84,EFOP,3.24
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Customer Account Services,TR,Transfers Out,1195446,0,1102967.78,1102967.78,EFOP,5.55
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Conservation,TR,Transfers Out,55762,0,49580.16,49580.16,EFOP,3.26
2016,Enterprise Operating Fund,0140OCA,Municipal Radio OCA,WRR Municipal Radio Classical Music,TR,Transfers Out,84936,0,71724,71724,EFOP,4.13
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Maintenance and Repair Services,RC,Capital Outlay,54990,0,79002,79002,INSV,5.E
2016,General Fund,0001OFS,Non-Departmental,Non-Departmental,QM,Supplies & Materials,50000,0,6.08,6.08,GNFD,5.46
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Production and Delivery,TR,Transfers Out,2381453,0,2329504.57,2329504.57,EFOP,2.5299999999999998
2016,General Fund,0001SEC,City Secretary's Office GF,Archives,QM,Supplies & Materials,1150,0,729.31,729.31,GNFD,5.07
2016,General Fund,0001STS,Street Services GF,Street Repair Division - Asphalt,RE,Reimbursements,0,0,-370.75,-370.75,GNFD,2.4300000000000002
